Scoring,,,
Primacy ,,,
,ACH,,
,,Direct deposits ,
,,Frequency - 3 consecutive months ,
,,"Amount $300 per week or $1,000 per month ",
,,Avg #,
,,Avg $ per item,
,,Avg $ per period,
,Internal transfers (other accounts to this account) ,,
,Debit ,,
,,Avg #,
,,Avg $ per item,
,,Avg $ per period,
,Overdraft ,,
,,Avg #,
,,Avg $ per item,
,,Avg $ per period,
,,Opt in / linked account,
,Account balance ,,
,Digital (Cliff follow up item),,
,,Logins ,
,Products held ,,
,Activity in other accounts low ,,
,,,
,,,
Product Propensity ,,,
,Generational Demographic ,,
,Relationship ,,
,,Tenure with FI ,
,,Primacy score ,
,Behavioral ,,
,,Digital engagement score ,
,,Regular transactions and consistency ,
,,Not At Risk or Dormant in Customer Engagement Scoring ,
,Checking activity ,,
,,Avg balance ,
,,Stable or positive balance trend,
,,Irregular / large withdrawal ,
,,Multiple debits to different payees ,
,,Transaction volume ,
,,Transaction diversity ,
,,,Merchant category / merchant diversity 
,,Recent overdrafts ,
,Income level ,,
,Financial health ,,
,,Credit score ,
,,Savings account ,
,,Positive savings balance trend ,
,,Income growth,
,,,Direct deposit 
,,,Positive direct deposit amount trend 
,Products held ,,
,,Checking ,
,,Savings ,
,,CD,
,,Credit card,
,,Mortgage loan ,
,,Personal loan,
,,Auto loan ,
,,Investment ,
,Digital engagement score ,,
,,,
Customer Engagement ,,,
,Relationship depth,,
,,Product held #,
,,Tenure with FI ,
,,Primacy score ,
,Account activity ,,
,,Total transactions #,
,,Balance trend ,
,,At risk / dormant accounts (we're going to make at risk and dormant customer level),
,,Regular transactions and consistency ,
,Digital engagement score ,,
,Financial behavior ,,
,,Products held,
,,,#
,,,Trend
,,Income growth,
,,,Direct deposit 
,,,Positive direct deposit amount trend 
